Applicant,LocationDescription,Address,Photo,FoodItems,Latitude,Longitude,Schedule,Location
The Geez Freeze,18TH ST: DOLORES ST to CHURCH ST (3700 - 3799),3750 18TH ST,,Snow Cones: Soft Serve Ice Cream & Frozen Virgin Daiquiris,37.7620192,-122.4273064,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00015&ExportPDF=1&Filename=21MFF-00015_schedule.pdf,"(37.76201920035647, -122.42730642251331)"
Datam SF LLC dba Anzu To You,TAYLOR ST: BAY ST to NORTH POINT ST (2500 - 2599),2535 TAYLOR ST,,Asian Fusion - Japanese Sandwiches/Sliders/Misubi,37.80588535,-122.4159452,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00106&ExportPDF=1&Filename=21MFF-00106_schedule.pdf,"(37.805885350100986, -122.41594524663745)"
Casita Vegana,JOHN MUIR DR: LAKE MERCED BLVD to SKYLINE BLVD (200 - 699),Assessors Block 7283/Lot004,,Coffee: Vegan Pastries: Vegan Hot Dogs: Vegan Tamales: Te: Vegan Shakes,37.72188971,-122.4925212,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00105&ExportPDF=1&Filename=21MFF-00105_schedule.pdf,"(37.72188970870838, -122.4925212449949)"
MOMO INNOVATION LLC,CALIFORNIA ST: BATTERY ST to SANSOME ST (300 - 399),351 CALIFORNIA ST,,Noodles: Meat & Drinks,37.79287075,-122.4007475,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00090&ExportPDF=1&Filename=21MFF-00090_schedule.pdf,"(37.792870749741496, -122.4007474940767)"
MOMO INNOVATION LLC,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),101 CALIFORNIA ST,,MOMO Spicy Noodle: POPO's Noodle: Spicy Chicken Noodle: Rice Noodles,37.79294895,-122.3980986,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00089&ExportPDF=1&Filename=21MFF-00089_schedule.pdf,"(37.792948952834664, -122.39809861316652)"
Treats by the Bay LLC,POST ST: MONTGOMERY ST to LICK PL (1 - 40),1 MONTGOMERY ST,,Sandwich: Donuts: Coffee: Soft Serve Ice Cream: Drinks,37.78924953,-122.4024186,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00094&ExportPDF=1&Filename=21MFF-00094_schedule.pdf,"(37.78924953407508, -122.40241859729358)"
MOMO INNOVATION LLC,MISSION ST: ANNIE ST to 03RD ST (663 - 699),667 MISSION ST,,Noodles: Meat & Drinks,37.78655805,-122.4010334,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00090&ExportPDF=1&Filename=21MFF-00090_schedule.pdf,"(37.7865580501799, -122.40103337534973)"
Treats by the Bay LLC,ELLIS ST: POWELL ST to CYRIL MAGNIN ST (100 - 148),120 ELLIS ST,,Prepackaged Kettlecorn,37.78561009,-122.4081548,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00093&ExportPDF=1&Filename=21MFF-00093_schedule.pdf,"(37.78561008636915, -122.40815476434545)"
MOMO INNOVATION LLC,BUSH ST: BATTERY ST to SANSOME ST (100 - 199),1 BUSH ST,,Noodles,37.79092151,-122.4001004,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00088&ExportPDF=1&Filename=21MFF-00088_schedule.pdf,"(37.79092150726921, -122.4001004237385)"
The Chef Station,10TH ST: FELL ST \ MARKET ST \ POLK ST to STEVENSON ST (1 - 18),8 10TH ST,,South American/Peruvian food,37.77582552,-122.4172496,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0203&ExportPDF=1&Filename=17MFF-0203_schedule.pdf,"(37.7758255197583, -122.41724962664345)"
